Gender,Ethnicity,Child's First Name,Count
MALE,HISPANIC,Brandon,74
FEMALE,HISPANIC,Ariana,73
MALE,HISPANIC,Elias,73
FEMALE,WHITE NON HISPANIC,Julia,73
MALE,WHITE NON HISPANIC,Mason,73
MALE,ASIAN AND PACIFIC ISLANDER,Matthew,73
MALE,HISPANIC,Xavier,73
FEMALE,WHITE NON HISPANIC,Chloe,72
MALE,HISPANIC,Leonardo,72
FEMALE,WHITE NON HISPANIC,Alice,71
MALE,WHITE NON HISPANIC,Christopher,71
MALE,BLACK NON HISPANIC,Michael,71
MALE,WHITE NON HISPANIC,Owen,71
MALE,WHITE NON HISPANIC,Jonathan,70
FEMALE,HISPANIC,Arianna,69
MALE,ASIAN AND PACIFIC ISLANDER,Austin,69
MALE,HISPANIC,Diego,69
MALE,WHITE NON HISPANIC,Asher,68
FEMALE,WHITE NON HISPANIC,Eva,68
FEMALE,HISPANIC,Penelope,68
MALE,WHITE NON HISPANIC,Robert,68
FEMALE,BLACK NON HISPANIC,Skylar,68
MALE,WHITE NON HISPANIC,Aiden,67
MALE,ASIAN AND PACIFIC ISLANDER,Eric,67
FEMALE,WHITE NON HISPANIC,Harper,67
MALE,WHITE NON HISPANIC,Nathan,67
MALE,WHITE NON HISPANIC,Shlomo,67
FEMALE,WHITE NON HISPANIC,Stella,67
MALE,WHITE NON HISPANIC,Yitzchok,67
FEMALE,HISPANIC,Alaia,66
FEMALE,HISPANIC,Amelia,66
MALE,BLACK NON HISPANIC,David,66
FEMALE,WHITE NON HISPANIC,Emilia,66
FEMALE,WHITE NON HISPANIC,Mila,66
MALE,BLACK NON HISPANIC,Chase,65
MALE,BLACK NON HISPANIC,Logan,65
FEMALE,BLACK NON HISPANIC,Riley,65
FEMALE,HISPANIC,Kaylee,64
MALE,ASIAN AND PACIFIC ISLANDER,Kevin,64
MALE,BLACK NON HISPANIC,King,64
MALE,WHITE NON HISPANIC,Omar,64
MALE,HISPANIC,Axel,63
MALE,HISPANIC,Erick,63
MALE,WHITE NON HISPANIC,Hudson,63
MALE,HISPANIC,Jesus,62
MALE,WHITE NON HISPANIC,Joshua,62
MALE,WHITE NON HISPANIC,Miles,62
FEMALE,WHITE NON HISPANIC,Penelope,62
FEMALE,WHITE NON HISPANIC,Sophie,62
MALE,ASIAN AND PACIFIC ISLANDER,William,62
MALE,WHITE NON HISPANIC,Aron,61
MALE,BLACK NON HISPANIC,Christian,61
MALE,ASIAN AND PACIFIC ISLANDER,Justin,61
MALE,WHITE NON HISPANIC,Mark,61
MALE,HISPANIC,Oliver,61
FEMALE,WHITE NON HISPANIC,Rivky,61
FEMALE,WHITE NON HISPANIC,Sienna,61
FEMALE,HISPANIC,Valerie,61
FEMALE,HISPANIC,Maria,60
MALE,WHITE NON HISPANIC,Maxwell,60
MALE,ASIAN AND PACIFIC ISLANDER,Owen,60
MALE,WHITE NON HISPANIC,Shmuel,60
FEMALE,ASIAN AND PACIFIC ISLANDER,Charlotte,59
MALE,HISPANIC,Alan,58
MALE,BLACK NON HISPANIC,Cameron,58
FEMALE,HISPANIC,Gabriella,58
FEMALE,WHITE NON HISPANIC,Layla,58
MALE,ASIAN AND PACIFIC ISLANDER,Mohammad,58
MALE,WHITE NON HISPANIC,Nathaniel,58
MALE,ASIAN AND PACIFIC ISLANDER,Oliver,58
MALE,BLACK NON HISPANIC,Tyler,58
FEMALE,WHITE NON HISPANIC,Yitty,58
FEMALE,BLACK NON HISPANIC,Aaliyah,57
MALE,ASIAN AND PACIFIC ISLANDER,Aaron,57
FEMALE,WHITE NON HISPANIC,Avery,57
MALE,WHITE NON HISPANIC,Connor,57
FEMALE,HISPANIC,Elizabeth,57
FEMALE,WHITE NON HISPANIC,Evelyn,57
MALE,BLACK NON HISPANIC,Isaiah,57
MALE,BLACK NON HISPANIC,Jacob,57
MALE,HISPANIC,Kayden,57
FEMALE,HISPANIC,Layla,57
MALE,WHITE NON HISPANIC,Logan,57
FEMALE,HISPANIC,Luna,57
MALE,WHITE NON HISPANIC,Meir,57
MALE,ASIAN AND PACIFIC ISLANDER,Noah,57
FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah,57
FEMALE,WHITE NON HISPANIC,Violet,57
MALE,WHITE NON HISPANIC,Yakov,57
